student_id,total_active_days,Cluster_ID,Behavioral_Pattern
pjwrqxbj984,364,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwrqxbj985,327,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj988,323,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj991,323,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj992,302,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj993,326,0.0,常规混合型 (Standard Mixed Pattern)
pjwrqxbj994,348,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrqxbj998,288,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwrzxbj996,319,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj913,335,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj914,354,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj918,264,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj920,374,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj921,319,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj922,342,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj925,347,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj928,328,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj929,351,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj930,346,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj931,348,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj932,339,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj933,379,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj935,449,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj939,314,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj941,677,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjwtqxbj942,405,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj943,327,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj944,369,0.0,常规混合型 (Standard Mixed Pattern)
pjwtqxbj946,436,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj947,321,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj950,325,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj952,334,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj953,329,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj954,404,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj957,346,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj959,374,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj960,306,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj965,408,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj967,320,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj968,341,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj969,397,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj971,734,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj972,475,0.0,常规混合型 (Standard Mixed Pattern)
pjwtqxbj974,309,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj976,354,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj977,300,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj979,551,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjwtqxbj982,343,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj983,343,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj984,508,0.0,常规混合型 (Standard Mixed Pattern)
pjwtqxbj985,325,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtqxbj987,353,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj988,512,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj993,363,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwtqxbj998,404,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwtzxbj996,280,3.0,深夜活跃型 (Late-Night Active Pattern)
pjwuzxbj992,435,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjwuzxbj995,288,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj911,362,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj912,332,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj914,343,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj915,462,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj916,566,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj918,372,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj919,346,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj920,350,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj924,271,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj925,324,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj926,411,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj927,321,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj930,344,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj932,326,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj933,504,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj934,465,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj937,471,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj941,355,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxpqxbj944,586,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj945,381,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj946,354,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj954,332,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj955,463,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj956,249,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj957,369,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj961,342,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj962,340,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj963,361,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxpqxbj967,548,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj969,409,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj971,334,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj972,373,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj973,368,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj975,370,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj976,316,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj977,798,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxpqxbj978,486,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj979,432,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj981,350,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj985,320,0.0,常规混合型 (Standard Mixed Pattern)
pjxpqxbj986,370,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxpqxbj987,357,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj992,349,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj994,490,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxpqxbj997,373,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxpqxbj998,357,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj947,269,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj949,666,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxqqxbj951,315,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj954,317,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj957,399,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj959,405,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj961,418,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj964,394,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxqqxbj967,301,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj969,322,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj970,251,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj973,303,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj974,399,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj975,344,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj977,289,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj979,500,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj981,332,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqqxbj982,446,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxqqxbj983,313,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqqxbj985,363,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj986,308,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxqqxbj988,301,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj989,293,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj991,315,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqqxbj996,312,0.0,常规混合型 (Standard Mixed Pattern)
pjxqqxbj997,312,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxqqxbj998,332,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqzxbj967,275,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj971,449,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj973,363,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqzxbj975,490,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj979,223,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxqzxbj980,304,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxqzxbj982,359,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj983,339,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj984,370,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqzxbj985,353,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj989,328,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqzxbj994,323,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxqzxbj995,172,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxqzxbj996,412,0.0,常规混合型 (Standard Mixed Pattern)
pjxqzxbj997,301,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj891,311,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj892,401,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxrqxbj894,316,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj898,324,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxrqxbj901,349,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj903,458,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj905,450,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxrqxbj908,316,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj909,304,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj911,306,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxrqxbj914,375,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj916,318,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj918,337,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj919,336,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj928,319,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj930,327,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj937,295,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj939,300,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj942,354,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj943,562,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxrqxbj944,302,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj945,355,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj947,355,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj951,308,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxrqxbj952,330,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj954,347,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj955,430,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj957,586,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj958,352,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj961,324,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj962,345,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj963,601,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj969,316,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj971,358,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj972,300,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxrqxbj973,457,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxrqxbj978,309,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj981,264,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj983,364,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj988,541,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj990,390,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj992,268,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxrqxbj994,356,0.0,常规混合型 (Standard Mixed Pattern)
pjxrqxbj996,457,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj751,384,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj752,338,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj758,160,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj760,136,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj764,322,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj765,339,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj768,312,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj771,387,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj772,272,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj774,248,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj777,324,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj778,329,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj779,316,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj780,377,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj784,362,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj786,306,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj787,366,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj788,324,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj789,337,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj790,346,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj792,333,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj796,342,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj800,388,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj801,345,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj807,344,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj808,319,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj809,350,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj810,302,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj811,383,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj812,192,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj815,312,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj816,290,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj820,349,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj821,296,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj823,307,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj824,329,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj825,356,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj826,306,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj827,260,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj829,533,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj831,347,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj834,482,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj840,291,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj843,368,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj844,320,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj849,368,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj851,312,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj856,318,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj857,334,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj859,326,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj862,328,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj863,344,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj864,431,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj867,339,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj871,325,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj872,312,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj873,319,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj874,346,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj876,457,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj877,300,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj880,349,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj881,376,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj882,355,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj884,352,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj885,373,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj886,286,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj887,297,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj888,292,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj892,299,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj893,491,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj894,323,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj897,303,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj899,351,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj900,318,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj904,314,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj905,484,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj906,485,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj908,352,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj909,325,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj912,340,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj916,360,2.0,晨间规律型 (Early-Morning Regular Pattern)
pjxsqxbj918,469,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj920,338,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj921,436,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj922,321,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj925,308,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj927,351,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj929,293,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj932,319,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj934,387,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj936,522,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj938,289,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj939,139,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj940,333,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj941,347,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj942,336,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj944,394,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj946,316,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj949,365,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj953,366,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj954,381,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj957,355,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj962,243,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj965,339,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj966,335,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj968,316,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj969,490,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj970,367,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj971,455,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj976,339,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj980,281,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj981,336,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj982,309,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj983,335,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj984,325,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj985,344,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj986,378,0.0,常规混合型 (Standard Mixed Pattern)
pjxsqxbj989,325,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj994,372,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj995,364,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj996,351,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxsqxbj997,373,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxsqxbj998,361,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxtztbj985,303,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxtztbj986,348,1.0,高波动不规律型 (High-Variance Irregular Pattern)
pjxtztbj987,314,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxtztbj989,324,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxtztbj990,312,3.0,深夜活跃型 (Late-Night Active Pattern)
pjxtztbj996,393,1.0,高波动不规律型 (High-Variance Irregular Pattern)
